PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,ImportDate,SO2,SiteId,time,Pollutant
4,EPA_COPY,2020-09-25 09:00,1,2.1,2,24.151958,44,12,良好,Zhongming,2.1,忠明,一般測站,0.3,35,2,24.151958,0.38,2020-09-25T01:00:00Z,58,10,120.641092,120.641092,38,14,2020-09-25,EPA-Zhongming,3,13,臺中市,2020-09-25 09:09:34.493000,2.1,31,01:00:00,
20,EPA_COPY,2020-09-25 09:00,1,2.7,3,22.4795,28,14,普通,Linyuan,5.6,林園,一般測站,0.5,63,21,22.4795,0.5,2020-09-25T01:00:00Z,48,42,120.41175,120.41175,16,20,2020-09-25,EPA-Linyuan,3,49,高雄市,2020-09-25 09:09:34.493000,4.8,52,01:00:00,細懸浮微粒
16,EPA_COPY,2020-09-25 09:00,1,,1,25.1645,33,22,普通,Tamsui,2.1,淡水,一般測站,0.3,52,22,25.1645,0.57,2020-09-25T01:00:00Z,,21,121.449239,121.449239,44,24,2020-09-25,EPA-Tamsui,3,27,新北市,2020-09-25 09:09:34.493000,1.2,10,01:00:00,細懸浮微粒
12,EPA_COPY,2020-09-25 09:00,1,1.1,2,25.012972,42,28,良好,Banqiao,3,板橋,一般測站,0.4,42,21,25.012972,0.79,2020-09-25T01:00:00Z,144,17,121.458667,121.458667,45,31,2020-09-25,EPA-Banqiao,3,26,新北市,2020-09-25 09:09:34.493000,2.2,6,01:00:00,
6,EPA_COPY,2020-09-25 09:00,1,3.8,2,24.382942,49,3.5,良好,Sanyi,1.2,三義,一般測站,0.2,41,8,24.382942,0.22,2020-09-25T01:00:00Z,23,9,120.758833,120.758833,44,4.7,2020-09-25,EPA-Sanyi,3,8,苗栗縣,2020-09-25 09:09:34.493000,1.7,27,01:00:00,
14,EPA_COPY,2020-09-25 09:00,1,3,1,25.077197,40,27,普通,Linkou,7.1,林口,一般測站,0.3,64,17,25.07857,0.55,2020-09-25T01:00:00Z,121,19,121.376869,121.365703,59,34,2020-09-25,EPA-Linkou,3,26,新北市,2020-09-25 09:09:34.493000,1,9,01:00:00,臭氧八小時
9,EPA_COPY,2020-09-25 09:00,1,1.7,3,23.711853,36,4,良好,Douliu,4.3,斗六,一般測站,0.3,28,11,23.711853,0.33,2020-09-25T01:00:00Z,355,16,120.544994,120.544994,29,8.3,2020-09-25,EPA-Douliu,3,21,雲林縣,2020-09-25 09:09:34.493000,1.6,37,01:00:00,
3,EPA_COPY,2020-09-25 09:00,1,1.9,2,23.045083,37,5.6,良好,Guanshan,2.1,關山,其他測站,,34,2,23.045083,,2020-09-25T01:00:00Z,51,6,121.161933,121.161933,37,7.7,2020-09-25,EPA-Guanshan,3,11,臺東縣,2020-09-25 09:09:34.493000,2.5,80,01:00:00,
15,EPA_COPY,2020-09-25 09:00,1,2.2,1,25.179667,42,8.4,普通,Wanli,0.4,萬里,一般測站,0.2,67,20,25.179667,0.31,2020-09-25T01:00:00Z,209,23,121.689881,121.689881,60,8.8,2020-09-25,EPA-Wanli,3,28,新北市,2020-09-25 09:09:34.493000,1.1,3,01:00:00,臭氧八小時
12,EPA_COPY,2020-09-25 09:00,1,3.4,2,24.805619,61,10,普通,Hsinchu,2.8,新竹,一般測站,0.3,64,12,24.805619,0.34,2020-09-25T01:00:00Z,77,,120.972075,120.972075,59,13,2020-09-25,EPA-Hsinchu,3,,新竹市,2020-09-25 09:09:34.493000,2,24,01:00:00,臭氧八小時
22,EPA_COPY,2020-09-25 09:00,1,0.8,2,22.883583,26,4.9,普通,Meinong,1,美濃,一般測站,0.3,66,20,22.883583,0.31,2020-09-25T01:00:00Z,133,,120.530542,120.530542,16,5.9,2020-09-25,EPA-Meinong,3,2,高雄市,2020-09-25 09:09:34.493000,,47,01:00:00,細懸浮微粒
7,EPA_COPY,2020-09-25 09:00,1,1,2,24.747917,48,5.8,良好,Yilan,0.7,宜蘭,一般測站,0.2,37,11,24.747917,0.28,2020-09-25T01:00:00Z,300,15,121.746394,121.746394,40,6.5,2020-09-25,EPA-Yilan,3,20,宜蘭縣,2020-09-25 09:09:34.493000,2.1,65,01:00:00,
10,EPA_COPY,2020-09-25 09:00,1,5.8,3,23.753506,51,9.5,良好,Mailiao,1.9,麥寮,工業測站,0.4,34,9,23.753506,0.37,2020-09-25T01:00:00Z,7.3,5,120.251825,120.251825,37,11,2020-09-25,EPA-Mailiao,3,4,雲林縣,2020-09-25 09:09:34.493000,4.3,83,01:00:00,
5,EPA_COPY,2020-09-25 09:00,1,2.1,3,23.305633,30,9.4,良好,Xinying,2.7,新營,一般測站,0.3,26,7,23.305633,0.38,2020-09-25T01:00:00Z,11,10,120.31725,120.31725,28,12,2020-09-25,EPA-Xinying,3,18,臺南市,2020-09-25 09:09:34.493000,3.2,43,01:00:00,
7,EPA_COPY,2020-09-25 09:00,1,3.4,2,24.162197,52,10,良好,Xitun,1.5,西屯,一般測站,0.3,44,6,24.162197,0.35,2020-09-25T01:00:00Z,4.1,10,120.616917,120.616917,47,12,2020-09-25,EPA-Xitun,3,19,臺中市,2020-09-25 09:09:34.493000,2,32,01:00:00,
5,EPA_COPY,2020-09-25 09:00,1,1.4,2,23.971306,36,12,良好,Hualien,2,花蓮,一般測站,0.3,31,6,23.971306,0.43,2020-09-25T01:00:00Z,254,12,121.599769,121.599769,33,14,2020-09-25,EPA-Hualien,3,14,花蓮縣,2020-09-25 09:09:34.493000,1.7,63,01:00:00,
14,EPA_COPY,2020-09-25 09:00,1,1.1,2,25.05,41,26,良好,Songshan,6.3,松山,一般測站,0.4,49,18,25.05,0.58,2020-09-25T01:00:00Z,212,5,121.578611,121.578611,53,32,2020-09-25,EPA-Songshan,3,2,臺北市,2020-09-25 09:09:34.493000,2,15,01:00:00,
20,EPA_COPY,2020-09-25 09:00,1,1.6,3,22.565747,25,15,普通,Daliao,5.8,大寮,一般測站,0.4,63,26,22.564136,0.49,2020-09-25T01:00:00Z,92,,120.425081,120.425311,16,20,2020-09-25,EPA-Daliao,3,,高雄市,2020-09-25 09:09:34.493000,3.5,51,01:00:00,細懸浮微粒
14,EPA_COPY,2020-09-25 09:00,1,1.1,2,24.982528,52,20,良好,Tucheng,3.6,土城,一般測站,0.3,45,22,24.982528,0.42,2020-09-25T01:00:00Z,163,8,121.451861,121.451861,49,24,2020-09-25,EPA-Tucheng,3,,新北市,2020-09-25 09:09:34.493000,1.3,5,01:00:00,
8,EPA_COPY,2020-09-25 09:00,1,1.6,2,23.756389,22,9.6,良好,Zhushan,3.2,竹山,一般測站,0.3,24,7,23.756389,0.33,2020-09-25T01:00:00Z,329,16,120.677306,120.677306,23,13,2020-09-25,EPA-Zhushan,3,39,南投縣,2020-09-25 09:09:34.493000,1.6,69,01:00:00,
17,EPA_COPY,2020-09-25 09:00,1,1.5,4,22.627392,23,13,普通,Fengshan,5.4,鳳山,交通測站,0.4,54,23,22.627392,0.52,2020-09-25T01:00:00Z,352,34,120.358083,120.358083,12,18,2020-09-25,EPA-Fengshan,3,42,高雄市,2020-09-25 09:09:34.493000,2.7,50,01:00:00,細懸浮微粒
21,EPA_COPY,2020-09-25 09:00,1,1.4,2,22.352222,33,19,普通,EPA_204,6.1,屏東(琉球),,0.4,64,22,,0.4,2020-09-25T01:00:00Z,43,40,120.377222,,24,25,2020-09-25,EPA-屏東(琉球),3,44,屏東縣,2020-09-25 09:09:34.493000,3,204,01:00:00,細懸浮微粒
16,EPA_COPY,2020-09-25 09:00,1,2.1,3,22.733667,26,11,普通,Nanzi,3.7,楠梓,一般測站,0.3,52,17,22.733667,0.36,2020-09-25T01:00:00Z,354,27,120.328289,120.328289,19,15,2020-09-25,EPA-Nanzi,3,26,高雄市,2020-09-25 09:09:34.493000,2.1,53,01:00:00,細懸浮微粒
