gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,08BEAC0AB6C0,N/A,5,5,56,taichuang,24.189633,27.75,120.685098,2020-09-25,08BEAC0AB6C0,北屯區仁和里環保志工小隊,01:21:38,3,2020-09-25T01:21:38Z,5,SVR/30/6.13,,,,,,
9,1,2,AirBox,08BEAC0AB6C4,N/A,16,16,61,taichuang,24.14797,27.25,120.633416,2020-09-25,08BEAC0AB6C4,南屯區三厝里環保志工小隊,01:19:51,14,2020-09-25T01:19:51Z,10.91,SVR/30/0.89,,,,,,
9,1,2,AirBox,08BEAC0AB6C6,N/A,12,12,56,taichuang,24.1081664,29.36,120.7033369,2020-09-25,08BEAC0AB6C6,大里區立新環保志工小隊,01:19:02,8,2020-09-25T01:19:02Z,12,SVR/30/7.99,,,,,,
9,1,2,AirBox,08BEAC0AB6C8,N/A,8,8,56,taichuang,24.1204882,29.5,120.6924938,2020-09-25,08BEAC0AB6C8,大里區日新環保志工小隊,01:17:00,6,2020-09-25T01:17:00Z,8,SVR/30/6.29,,,,,,
9,1,2,AirBox,08BEAC0AB6CA,N/A,8,9,57,taichuang,24.1248073,27.87,120.6628649,2020-09-25,08BEAC0AB6CA,南區福順里環保志工隊,01:21:17,5,2020-09-25T01:21:17Z,8,SVR/30/3.75,,,,,,
9,1,2,AirBox,08BEAC0AB6CC,N/A,11,12,57,taichuang,24.0932438,29.36,120.7150132,2020-09-25,08BEAC0AB6CC,大里區塗城環保志工小隊,01:19:22,7,2020-09-25T01:19:22Z,11,SVR/30/9.96,,,,,,
9,1,2,AirBox,08BEAC0AB6CE,N/A,13,14,58,taichuang,24.1036256,28.75,120.6918373,2020-09-25,08BEAC0AB6CE,大里區中新里環保志工小隊,01:21:06,8,2020-09-25T01:21:06Z,9.97,SVR/30/7.45,,,,,,
9,1,2,AirBox,08BEAC0AB6D0,N/A,16,18,62,taichuang,24.167222,27.5,120.700435,2020-09-25,08BEAC0AB6D0,北屯區三和里環保志工小隊,01:19:46,10,2020-09-25T01:19:46Z,10.77,SVR/30/6.26,,,,,,
9,1,2,AirBox,08BEAC0AB6D2,N/A,5,6,60,taichuang,24.142505,27,120.648544,2020-09-25,08BEAC0AB6D2,南屯區同心里環保志工小隊,01:18:20,4,2020-09-25T01:18:20Z,5,SVR/30/1.3,,,,,,
9,1,2,AirBox,08BEAC0AB6D6,N/A,5,6,58,taichuang,24.15584,27.5,120.674313,2020-09-25,08BEAC0AB6D6,北區中達里環保志工小隊,01:19:17,4,2020-09-25T01:19:17Z,5,SVR/30/3.41,,,,,,
9,1,2,AirBox,08BEAC0AB72C,N/A,6,6,64,taichuang,24.294854,25.75,120.701461,2020-09-25,08BEAC0AB72C,台中市后里區舊社里環保志工小隊,01:16:39,4,2020-09-25T01:16:39Z,6,SVR/30/11.4,,,,,,
9,1,2,AirBox,08BEAC0AB730,N/A,15,15,64,taichuang,24.247761,25.62,120.693821,2020-09-25,08BEAC0AB730,台中市神岡區岸裡里環保志工小隊,01:17:53,10,2020-09-25T01:17:53Z,10.23,SVR/30/11.92,,,,,,
9,1,2,AirBox,08BEAC0AB732,N/A,8,9,63,taichuang,24.23458,26,120.69509,2020-09-25,08BEAC0AB732,台中市神岡區三角里環保志工小隊,01:18:55,5,2020-09-25T01:18:55Z,8,SVR/30/10.7,,,,,,
9,1,2,AirBox,08BEAC0AB738,N/A,11,11,67,taichuang,24.0686282,26.87,120.7130436,2020-09-25,08BEAC0AB738,朝陽科技大學管理大樓T2-808,01:21:45,7,2020-09-25T01:21:45Z,11,SVR/30/11.81,,,,,,
9,1,2,AirBox,08BEAC0AB73A,N/A,7,8,60,taichuang,24.2195503,27,120.574759,2020-09-25,08BEAC0AB73A,臺中市私立加州幼兒園,01:18:10,5,2020-09-25T01:18:10Z,7,SVR/30/10.08,,,,,,
9,1,2,AirBox,08BEAC0AB73C,N/A,5,6,58,taichuang,24.2493727,26.62,120.7238043,2020-09-25,08BEAC0AB73C,臺中市豐原區南陽國民小學附設幼兒園,01:15:03,4,2020-09-25T01:15:03Z,5,SVR/30/13.7,,,,,,
9,1,2,AirBox,08BEAC0AB73E,N/A,4,4,49,taichuang,24.1502578,25,120.716479,2020-09-24,08BEAC0AB73E,nimohome,23:34:10,3,2020-09-24T23:34:10Z,4,SVR/30/7.66,,,,,,
9,1,2,AirBox,08BEAC0AB740,N/A,8,8,60,taichuang,24.068809,28.11,120.7128614,2020-09-25,08BEAC0AB740,朝陽科技大學管理大樓T2-815,01:21:12,5,2020-09-25T01:21:12Z,8,SVR/30/11.78,,,,,,
9,1,2,AirBox,08BEAC0AB746,N/A,11,11,52,taichuang,24.0667409,30.75,120.7007376,2020-09-25,08BEAC0AB746,霧峰區本鄉里環保志工小隊,01:17:43,8,2020-09-25T01:17:43Z,11,SVR/30/11.25,,,,,,
9,1,2,AirBox,08BEAC0AB748,N/A,7,7,58,taichuang,24.0654302,29.11,120.6984783,2020-09-25,08BEAC0AB748,霧峰區中正里環保志工小隊,01:17:38,4,2020-09-25T01:17:38Z,7,SVR/30/11.26,,,,,,
9,1,2,AirBox,08BEAC0AB74A,N/A,10,11,62,taichuang,24.0687728,27.62,120.7132573,2020-09-25,08BEAC0AB74A,朝陽科技大學管理大樓T2-415,01:17:42,7,2020-09-25T01:17:42Z,10,SVR/30/11.81,,,,,,
