hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,3,acelink.edimax,4,4,86,桃園市市立同德國中,1,0,25.0158367,25.7,2020-05-23T02:19:45Z,0,121.2936759,桃園市桃園區南平路487號,2020-05-23,08BEAC0A0614,0,3.63,v1.06,0,02:19:45,AI-1003WN,BRR/30/2.52,,
,9,AirBox,2,13,,17,18,95,74DA38C7D1D6,1,,22.46,28.36,2020-05-23T02:14:15Z,,120.446,N/A,2020-05-23,74DA38C7D1D6,,8.93,,,02:14:15,,Theil-Sen/30/24.08,東港鎮興漁里,pingtung
,9,AirBox,2,10,,14,15,91,08BEAC028D4A,1,,24.99927521,23.37,2020-05-23T02:14:13Z,,121.3409959,N/A,2020-05-23,08BEAC028D4A,,8.46,,,02:14:13,,BRR/30/3.72,AD4A,miaoli
,9,AirBox,2,0,,0,1,72,74DA38C7D1D4,1,,25.026,26.62,2020-05-23T02:14:24Z,,121.52,N/A,2020-05-23,74DA38C7D1D4,,8.46,,,02:14:24,,BRR/14/2.58,kjt,taipei
,9,AirBox,2,0,,0,0,100,苗栗縣縣立士林國小,1,,24.347,23.37,2020-05-23T02:12:21Z,,120.93,[365]苗栗縣泰安鄉士林村5鄰26號,2020-05-23,74DA38F20B8C,,0,,,02:12:21,,LR/14/17.79,苗栗縣士林國小,miaoli
,9,AirBox,2,11,,15,15,100,高雄市市立旗尾國小,1,,22.882,24.75,2020-05-23T02:17:47Z,,120.492,高雄市旗尾國小 高雄市旗山區延平二路19號,2020-05-23,74DA38F20B8A,,12.39,,,02:17:47,,BRR/30/3.95,高雄市旗山區旗尾國小2,kaohsiung
0,9,AirBox,2,9,acelink.edimax,14,15,100,臺中市立合作國小,1,0,24.24046202,26.3,2020-05-23T02:19:28Z,0,120.7037366,臺中市豐原區西勢路410號,2020-05-23,08BEAC0A007E,0,11.19,v1.06,0,02:19:28,AI-1003WN,Theil-Sen/14/4.25,,
0,9,AirBox,2,8,acelink.edimax,21,24,100,雲林縣縣立大有國小,1,0,23.7639764,28.1,2020-05-23T02:15:16Z,0,120.3091388,雲林縣崙背鄉大有村大有路十四號,2020-05-23,08BEAC0A007C,0,38.26,v1.06,0,02:15:16,AI-1003WN,Theil-Sen/21/24.7,,
,9,AirBox,2,7,,10,11,93,新北市北大高中,1,,24.948,24.87,2020-05-23T02:15:13Z,,121.372,N/A,2020-05-23,74DA38F20A30,,6.1,,,02:15:13,,BRR/30/8.61,新北市北大高中,new_taipei
0,9,AirBox,2,17,acelink.edimax,26,27,89,臺中市立省三國小,1,0,24.159763,27.5,2020-05-23T02:14:35Z,0,120.684232,臺中市北區崇德路一段107號,2020-05-23,08BEAC0A007A,0,12.51,v1.06,0,02:14:35,AI-1003WN,BRR/30/4.46,,
,9,AirBox,2,3,,4,4,67,74DA38B05384,1,,24.17,28.25,2020-05-23T02:14:21Z,,120.72,N/A,2020-05-23,74DA38B05384,,5.78,,,02:14:21,,BRR/30/8.25,YuYao Chang Living Room,taichuang
,9,AirBox,2,1,,3,5,0,新北市乾華國小,1,,25.269,-4,2020-05-23T02:10:28Z,,121.592,N/A,2020-05-23,74DA38F7C3C6,,N/A,,,02:10:28,,N/A,乾華國小107空氣盒子,new_taipei
,9,AirBox,2,7,,9,10,89,08BEAC028880,1,,24.21896993,25.62,2020-05-23T02:15:59Z,,120.6597032,N/A,2020-05-23,08BEAC028880,,4.27,,,02:15:59,,BRR/30/7.69,民峰實業股份有限公司大雅預拌混凝土廠行車路徑,taichuang
,9,AirBox,2,4,,6,8,100,74DA38AF4798,1,,25.115,25.25,2020-05-23T02:16:18Z,,121.519,N/A,2020-05-23,74DA38AF4798,,6.15,,,02:16:18,,BRR/14/1.13,振華公園,taipei
0,9,AirBox,2,3,acelink.edimax,4,4,100,臺中市立東勢國中,1,0,24.257442,25.5,2020-05-23T02:18:24Z,0,120.851617,臺中市東勢區東崎路5段415號,2020-05-23,08BEAC0A027C,0,4.73,v1.06,0,02:18:24,AI-1003WN,Theil-Sen/14/11.14,,
0,9,AirBox,2,3,acelink.edimax,5,5,93,桃園市市立中興國小,1,0,24.92485458,25.1,2020-05-23T02:15:40Z,0,121.3102443,桃園市大溪區瑞興里一鄰大鶯路1125號,2020-05-23,08BEAC0A027E,0,3.33,v1.06,0,02:15:40,AI-1003WN,BRR/30/7.86,,
,9,AirBox,2,0,,0,0,56,74DA38AF475E,1,,25.064,28.75,2020-05-23T02:12:26Z,,121.496,N/A,2020-05-23,74DA38AF475E,,12.06,,,02:12:26,,BRR/14/2.29,SC-indoor,new_taipei
0,9,AirBox,2,0,acelink.edimax,0,0,96,嘉義縣縣立豐山實驗國(中)小,1,0,23.5759516,24.3,2020-05-23T02:18:27Z,0,120.7500601,嘉義縣阿里山鄉豐山村47號,2020-05-23,08BEAC0A06DE,0,3.58,v1.06,0,02:18:27,AI-1003WN,Theil-Sen/21/25.78,,
0,9,AirBox,2,16,acelink.edimax,39,45,87,臺南市市立大灣高中附設國中,1,0,23.02736947,28.5,2020-05-23T02:15:46Z,0,120.2566919,臺南市永康區文賢街68巷1號,2020-05-23,08BEAC0A06DA,0,21.2,v1.06,0,02:15:46,AI-1003WN,BRR/14/7.3,,
,9,AirBox,2,5,,6,7,100,74DA38AF4796,1,,24.911,23.37,2020-05-23T02:17:35Z,,121.151,N/A,2020-05-23,74DA38AF4796,,N/A,,,02:17:35,,N/A,桃園縣楊梅鎮自立街,taoyuan
0,9,AirBox,2,9,acelink.edimax,18,19,98,臺南市市立竹橋國中,1,0,23.10140477,27.8,2020-05-23T02:16:25Z,0,120.1418082,臺南市七股區義合里74之2號,2020-05-23,08BEAC0A06DC,0,8.7,v1.06,0,02:16:25,AI-1003WN,BRR/14/14.4,,
