SiteAddr,SiteName,adf_status,app,area,c_d0,c_d0_method,date,device_id,fw_ver,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,hcho,model,name,odm,s_d0,s_d1,s_d2,s_g1,s_g8,s_gg,s_h0,s_t0,time,timestamp
N/A,74DA38AF4758,,AirBox,taichuang,16.73,BRR/30/5.81,2020-05-24,74DA38AF4758,,2.0,1.0,24.103,120.621,9.0,,,HomeWuri,,33.0,38.0,25.0,,,,85.0,26.87,01:33:19,2020-05-24T01:33:19Z
臺中市太平區廍仔坑路95號,臺中市立坪廍分校,0,AirBox,,85.94,LR/30/11.21,2020-05-24,08BEAC0A0120,v1.06,2.0,1.0,24.15674636,120.7569102,9.0,0,AI-1003WN,,acelink.edimax,38.0,41.0,28.0,0.0,0.0,0.0,89.0,30.1,01:37:56,2020-05-24T01:37:56Z
臺中市新社區崑山里崑南街崑崙巷5-2號,臺中市立崑山國小,0,AirBox,,13.46,LR/30/4.92,2020-05-24,08BEAC0A0122,v1.06,2.0,1.0,24.241159,120.7872285,9.0,0,AI-1003WN,,acelink.edimax,18.0,22.0,8.0,0.0,0.0,0.0,100.0,26.1,01:39:15,2020-05-24T01:39:15Z
Tainan,台南-1,,AirBox,tainan,23.49,Theil-Sen/14/0.09,2020-05-24,08BEAC0286B8,,2.0,1.0,22.984,120.202,9.0,,,手動站：臺南站-1（6B8),,48.0,59.0,29.0,,,,86.0,29.61,01:31:07,2020-05-24T01:31:07Z
臺中市太平區光明路10-2號,臺中市立車籠埔國小,0,AirBox,,9.9,BRR/30/10.35,2020-05-24,08BEAC0A0128,v1.06,2.0,1.0,24.10949086,120.7318033,9.0,0,AI-1003WN,,acelink.edimax,17.0,19.0,10.0,0.0,0.0,0.0,77.0,30.5,01:34:56,2020-05-24T01:34:56Z
N/A,74DA38AF4752,,AirBox,kaohsiung,15.11,Theil-Sen/30/4.27,2020-05-24,74DA38AF4752,,2.0,1.0,22.652,120.324,9.0,,,立志街airbox,,18.0,20.0,14.0,,,,70.0,31.61,01:34:40,2020-05-24T01:34:40Z
臺南市六甲區中正路319號,臺南市市立六甲國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A00D2,v1.04,2.0,1.0,23.2258581,120.3502928,9.0,0,AI-1003WN,,acelink.edimax,58.0,73.0,33.0,0.0,0.0,0.0,100.0,28.3,01:36:30,2020-05-24T01:36:30Z
N/A,新北市新北高工,,AirBox,NA,5.57,BRR/14/3.53,2020-05-24,74DA38F7C49C,,2.0,1.0,24.982,121.451,9.0,,,74DA38F7C49C,,10.0,11.0,6.0,,,,95.0,25.62,01:36:40,2020-05-24T01:36:40Z
桃園市楊梅區校前路1號,桃園市市立楊梅國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A00D0,v1.06,2.0,1.0,24.9058683,121.1446092,9.0,0,AI-1003WN,,acelink.edimax,15.0,18.0,11.0,0.0,0.0,0.0,95.0,27.1,01:39:38,2020-05-24T01:39:38Z
N/A,新北市淡水商工,,AirBox,new_taipei,N/A,N/A,2020-05-24,74DA38F7C49A,,2.0,1.0,25.187,121.454,9.0,,,新北市淡水商工,,5.0,5.0,3.0,,,,100.0,25.12,01:31:20,2020-05-24T01:31:20Z
雲林縣四湖鄉羊稠村建華路卅五號,雲林縣縣立建華國小,0,AirBox,,9.22,BRR/14/19.81,2020-05-24,08BEAC0A00D6,v1.06,2.0,1.0,23.6399402,120.2005182,9.0,0,AI-1003WN,,acelink.edimax,15.0,17.0,9.0,0.0,0.0,0.0,100.0,29.2,01:37:07,2020-05-24T01:37:07Z
N/A,74DA38EBF788,,AirBox,miaoli,11.68,BRR/30/9.68,2020-05-24,74DA38EBF788,,2.0,1.0,25.067,121.359,9.0,,,A050,,21.0,23.0,14.0,,,,100.0,24.12,01:36:58,2020-05-24T01:36:58Z
臺南市東山區聖賢里田尾29號,臺南市市立聖賢國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A00D4,v1.06,2.0,1.0,23.3060984347,120.362503119,9.0,0,AI-1003WN,,acelink.edimax,61.0,73.0,34.0,0.0,0.0,0.0,100.0,28.5,01:39:45,2020-05-24T01:39:45Z
N/A,新北市中正國中,,AirBox,new_taipei,6.95,BRR/14/3.34,2020-05-24,74DA38F7C49E,,2.0,1.0,24.983,121.456,9.0,,,新北市立中正國中,,9.0,10.0,6.0,,,,87.0,24.87,01:37:08,2020-05-24T01:37:08Z
